id,kategori,subKategori,tahap,soalan,pilihan_A,pilihan_B,pilihan_C,pilihan_D,penerangan
1,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Berdasarkan buku, apakah bunga yang telah diisytiharkan sebagai Bunga Kebangsaan pada 28 Julai 1960?","Bunga Raya","Bunga Mawar","Bunga Orkid","Bunga Matahari","Buku Pengetahuan Am PKSK menyatakan Bunga Raya diisytiharkan sebagai Bunga Kebangsaan pada 28 Julai 1960."
2,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Menurut buku, lagu kebangsaan 'NEGARAKU' telah dicipta pada tahun berapa?","1957","1963","1970","1955","Buku ini menyatakan bahawa lagu 'NEGARAKU' telah dicipta pada tahun 1957."
3,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Berapakah jalur yang terdapat pada bendera Malaysia versi tahun 1963?","14 Jalur","11 Jalur","13 Jalur","15 Jalur","Menurut rajah sejarah bendera dalam buku, bendera Malaysia pada tahun 1963 mempunyai 14 jalur."
4,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Apakah warna pada Jalur Gemilang yang menunjukkan keberanian?","Merah","Kuning","Biru Tua","Putih","Berdasarkan buku, warna merah pada bendera Malaysia menunjukkan keberanian."
5,Kenegaraan dan Identiti Nasional Malaysia,Asas Negara,MUDAH,"Apakah nama lain bagi Perlembagaan Malaysia seperti yang dinyatakan dalam buku?","Perlembagaan Persekutuan","Undang-undang Negara","Kanun Malaysia","Piagam Malaysia","Buku ini menyatakan Perlembagaan Malaysia turut dikenali sebagai Perlembagaan Persekutuan."
6,Kenegaraan dan Identiti Nasional Malaysia,Asas Negara,MUDAH,"Rukun Negara telah diisytiharkan pada 31 Ogos tahun berapa?","1970","1957","1963","1969","Menurut buku, Rukun Negara telah diisytiharkan pada 31 Ogos 1970."
7,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Apakah lambang Agama Islam sebagai agama persekutuan pada Jalur Gemilang?","Bulan dan Bintang","Warna Biru Tua","Bintang Pecah 14","Warna Kuning","Buku ini menyatakan bahawa Bulan dan Bintang pada bendera melambangkan Agama Islam sebagai agama persekutuan negara."
8,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Apakah yang dilambangkan oleh dua ekor harimau pada Jata Negara?","Simbol keberanian, kegagahan & kekuatan","Simbol 13 Negeri & Kerajaan Persekutuan","Simbol Islam sebagai agama persekutuan","Simbol kedaulatan Raja-raja Melayu","Menurut rajah Jata Negara dalam buku, dua ekor harimau adalah simbol keberanian, kegagahan dan kekuatan."
9,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Apakah yang diwakili oleh imej Pokok Pinang pada Jata Negara?","Pulau Pinang","Sabah","Sarawak","Melaka","Imej Pokok Pinang dan Jambatan Pulau Pinang pada Jata Negara mewakili negeri Pulau Pinang."
10,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Bintang pecah 14 pada Jata Negara menandakan 13 Negeri dan...?","Kerajaan Persekutuan","Wilayah Diraja","Tanah Jajahan","Daerah Khas","Buku ini menerangkan bahawa bintang pecah 14 menandakan 13 Negeri dan Kerajaan Persekutuan."
