ID,Kategori,Sub_Kategori,Tahap,Soalan,Pilihan_A,Pilihan_B,Pilihan_C,Pilihan_D,Penerangan
1,Malaysia,Simbol Rasmi,MUDAH,"Apakah bunga kebangsaan Malaysia?","Bunga Raya","Bunga Mawar","Bunga Orkid","Bunga Kertas","Bunga Raya (Hibiscus rosa-sinensis) telah diisytiharkan sebagai Bunga Kebangsaan pada 28 Julai 1960."
2,Malaysia,Simbol Rasmi,MUDAH,"Lagu 'Negaraku' adalah lagu kebangsaan Malaysia. Bilakah lagu ini mula digunakan?","1957","1963","1970","1955","Lagu 'Negaraku' dipilih sebagai lagu kebangsaan Persekutuan Tanah Melayu pada tahun 1957, iaitu tahun kemerdekaan."
3,Malaysia,Simbol Rasmi,MUDAH,"Berapakah jalur yang terdapat pada bendera Malaysia, Jalur Gemilang?","14","13","11","15","14 jalur pada Jalur Gemilang melambangkan 13 buah negeri dan Kerajaan Persekutuan."
4,Malaysia,Simbol Rasmi,MUDAH,"Apakah haiwan yang menjadi simbol keberanian pada Jata Negara Malaysia?","Harimau","Singa","Gajah","Helang","Dua ekor harimau pada Jata Negara melambangkan keberanian, kegagahan, dan kekuatan."
5,Malaysia,Asas Negara,MUDAH,"Apakah nama perlembagaan tertinggi di Malaysia?","Perlembagaan Persekutuan","Kanun Tanah Negara","Akta Hasutan","Akta Rahsia Rasmi","Perlembagaan Persekutuan adalah undang-undang tertinggi di Malaysia dan menjadi asas kepada semua undang-undang lain."
6,Malaysia,Asas Negara,MUDAH,"Rukun Negara mempunyai 5 prinsip. Apakah prinsip pertama?","Kepercayaan kepada Tuhan","Kesetiaan kepada Raja dan Negara","Keluhuran Perlembagaan","Kedaulatan Undang-undang","Prinsip pertama Rukun Negara ialah Kepercayaan kepada Tuhan, yang menjadi asas kehidupan beragama di Malaysia."
7,Malaysia,Kepimpinan Kerajaan,MUDAH,"Siapakah Perdana Menteri Malaysia yang pertama?","Tunku Abdul Rahman Putra Al-Haj","Tun Abdul Razak Hussein","Tun Hussein Onn","Tun Dr. Mahathir Mohamad","Tunku Abdul Rahman, yang juga dikenali sebagai Bapa Kemerdekaan, merupakan Perdana Menteri Malaysia yang pertama."
8,Malaysia,Pentadbiran Negeri,MUDAH,"Apakah ibu negeri bagi negeri Selangor?","Shah Alam","Klang","Petaling Jaya","Subang Jaya","Shah Alam telah menjadi ibu negeri Selangor sejak tahun 1978, menggantikan Kuala Lumpur."
9,Malaysia,Pentadbiran Negeri,MUDAH,"Bandar Diraja bagi negeri Perak ialah...","Kuala Kangsar","Ipoh","Taiping","Teluk Intan","Kuala Kangsar adalah Bandar Diraja Perak, tempat terletaknya istana rasmi Sultan Perak."
10,Malaysia,Wilayah,MUDAH,"Berapakah bilangan negeri yang terdapat di Malaysia?","13","14","11","12","Malaysia terdiri daripada 13 buah negeri dan 3 Wilayah Persekutuan."
